source,day_label,lect_num,type,reference,csv_incipit,derived_incipit,db_first_verse,rendered_first_line,problems
standard,Ordinary Time/4/Monday/I,323,first_reading,Hebrews 11.32-40,Concerning the great power of faith,,"And what more shall I say? For time would fail me to tell of Gideon, Barak, Samson, Jephthah, of David and Samuel and the prophets--",Reading text unavailable for Hebrews 11.32-40.,text_unavailable
standard,Ordinary Time/4/Monday/I,323,gospel,Mark 5.1-20,Jesus and the disciples came to the other side of the sea,"At that time,","They came to the other side of the sea, to the country of the Gerasenes.",Reading text unavailable for Mark 5.1-20.,text_unavailable
standard,Ordinary Time/4/Tuesday/I,324,first_reading,Hebrews 12.1-4,Beloved Since we are surrounded by so great a cloud of witnesses,,"Therefore, since we are surrounded by so great a cloud of witnesses, let us also lay aside every weight, and sin which clings so closely, and let us run with perseverance the race that is set before us,",Reading text unavailable for Hebrews 12.1-4.,text_unavailable
standard,Ordinary Time/4/Tuesday/I,324,gospel,Mark 5.21-43,When Jesus had crossed in the boat to the other side,"At that time,","And when Jesus had crossed again in the boat to the other side, a great crowd gathered about him; and he was beside the sea.",Reading text unavailable for Mark 5.21-43.,text_unavailable
standard,Ordinary Time/4/Tuesday/I,324,first_reading,Hebrews 12.1-4,Beloved Since we are surrounded by so great a cloud of witnesses,,"Therefore, since we are surrounded by so great a cloud of witnesses, let us also lay aside every weight, and sin which clings so closely, and let us run with perseverance the race that is set before us,",Reading text unavailable for Hebrews 12.1-4.,text_unavailable
standard,Ordinary Time/4/Tuesday/I,324,gospel,Mark 5.21-43,When Jesus had crossed in the boat to the other side,"At that time,","And when Jesus had crossed again in the boat to the other side, a great crowd gathered about him; and he was beside the sea.",Reading text unavailable for Mark 5.21-43.,text_unavailable
standard,Ordinary Time/4/Wednesday/I,325,first_reading,"Hebrews 12.4-7, 11-15",Beloved in your struggle against sin,,In your struggle against sin you have not yet resisted to the point of shedding your blood.,"Reading text unavailable for Hebrews 12.4-7, 11-15.",text_unavailable
standard,Ordinary Time/4/Wednesday/I,325,gospel,Mark 6.1-6,Jesus came to his hometown,"At that time,",He went away from there and came to his own country; and his disciples followed him.,Reading text unavailable for Mark 6.1-6.,text_unavailable
standard,Ordinary Time/4/Wednesday/I,325,first_reading,"Hebrews 12.4-7, 11-15",Beloved in your struggle against sin,,In your struggle against sin you have not yet resisted to the point of shedding your blood.,"Reading text unavailable for Hebrews 12.4-7, 11-15.",text_unavailable
standard,Ordinary Time/4/Wednesday/I,325,gospel,Mark 6.1-6,Jesus came to his hometown,"At that time,",He went away from there and came to his own country; and his disciples followed him.,Reading text unavailable for Mark 6.1-6.,text_unavailable
standard,Ordinary Time/4/Thursday/I,326,first_reading,"Hebrews 12.18-19, 21-24",Beloved unlike those at Mount Sinai,,"For you have not come to what may be touched, a blazing fire, and darkness, and gloom, and a tempest,","Reading text unavailable for Hebrews 12.18-19, 21-24.",text_unavailable
standard,Ordinary Time/4/Thursday/I,326,gospel,Mark 6.7-13,Jesus called the twelve,"At that time,","And he called to him the twelve, and began to send them out two by two, and gave them authority over the unclean spirits.",Reading text unavailable for Mark 6.7-13.,text_unavailable
standard,Ordinary Time/4/Friday/I,327,first_reading,Hebrews 13.1-8,Beloved let mutual love continue,,Let brotherly love continue.,Reading text unavailable for Hebrews 13.1-8.,text_unavailable
standard,Ordinary Time/4/Friday/I,327,gospel,Mark 6.14-29,King Herod heard of the miracles of Jesus,"At that time,","King Herod heard of it; for Jesus'  name had become known. Some  said, ""John the baptizer has been raised from the dead; that is why these powers are at work in him.""",Reading text unavailable for Mark 6.14-29.,text_unavailable
standard,Ordinary Time/4/Friday/I,327,first_reading,Hebrews 13.1-8,Beloved let mutual love continue,,Let brotherly love continue.,Reading text unavailable for Hebrews 13.1-8.,text_unavailable
standard,Ordinary Time/4/Friday/I,327,gospel,Mark 6.14-29,King Herod heard of the miracles of Jesus,"At that time,","King Herod heard of it; for Jesus'  name had become known. Some  said, ""John the baptizer has been raised from the dead; that is why these powers are at work in him.""",Reading text unavailable for Mark 6.14-29.,text_unavailable
standard,Ordinary Time/5/Sunday/A,,first_reading,Isa 58:7-10,THUS says the LORD Share your bread with the hungry,Thus says the LORD:,"Is it not to share your bread with the hungry, and bring the homeless poor into your house; when you see the naked, to cover him, and not to hide yourself from your own flesh?","7. THUS says the LORD:: Is it not to share your bread with the hungry, and bring the homeless poor into your house; when you see the naked, to cover him, and not to hide yourself from your own flesh?",raw_verse_conjunction:thus; verse_number_in_rendered
standard,Ordinary Time/5/Sunday/A,,gospel,Matt 5:13-16,"JESUS said to his disciples ""You are the salt of the earth",Jesus said to his disciples:,"""You are the salt of the earth; but if salt has lost its taste, how shall its saltness be restored? It is no longer good for anything except to be thrown out and trodden under foot by men.","13. JESUS said to his:: ""You are the salt of the earth; but if salt has lost its taste, how shall its saltness be restored? It is no longer good for anything except to be thrown out and trodden under foot by men.",verse_number_in_rendered
standard,Ordinary Time/5/Sunday/B,,gospel,Mark 1:29-39,ON leaving the synagogue,"At that time,","And immediately he  left the synagogue, and entered the house of Simon and Andrew, with James and John.","29. ON leaving the synagogue: And immediately Jesus  left the synagogue, and entered the house of Simon and Andrew, with James and John.",verse_number_in_rendered; conjunction_after_incipit:and
standard,Ordinary Time/5/Sunday/C,,gospel,Luke 5:1-11,WHILE the crowd was pressing in on Jesus and listening,"At that time,","While the people pressed upon him to hear the word of God, he was standing by the lake of Gennesaret.","1. WHILE the crowd was:: While the people pressed upon Jesus to hear the word of God, he was standing by the lake of Gennesaret.",raw_verse_conjunction:while
standard,Ordinary Time/5/Monday/I,329,first_reading,Gen 1.1-19,In the beginning when God created the heavens and the earth,"In the beginning,",IN the beginning God created the heavens and the earth.,Reading text unavailable for Gen 1.1-19.,text_unavailable
standard,Ordinary Time/5/Monday/I,329,gospel,Mark 6.53-56,Jesus and the disciples crossed over the lake,"At that time,","And when they had crossed over, they came to land at Gennesaret, and moored to the shore.",Reading text unavailable for Mark 6.53-56.,text_unavailable
standard,Ordinary Time/5/Monday/I,329,first_reading,Gen 1.1-19,In the beginning when God created the heavens and the earth,"In the beginning,",IN the beginning God created the heavens and the earth.,Reading text unavailable for Gen 1.1-19.,text_unavailable
standard,Ordinary Time/5/Monday/I,329,gospel,Mark 6.53-56,Jesus and the disciples crossed over the lake,"At that time,","And when they had crossed over, they came to land at Gennesaret, and moored to the shore.",Reading text unavailable for Mark 6.53-56.,text_unavailable
standard,Ordinary Time/5/Tuesday/I,330,first_reading,Gen 1.20-2.4a,In the beginning when God created the heavens and the earth,"In the beginning,","And God said, ""Let the waters bring forth swarms of living creatures, and let birds fly above the earth across the firmament of the heavens.""",Reading text unavailable for Gen 1.20-2.4a.,text_unavailable
standard,Ordinary Time/5/Tuesday/I,330,gospel,Mark 7.1-13,When the Pharisees and some of the scribes,"At that time,","Now when the Pharisees gathered together to him, with some of the scribes, who had come from Jerusalem,",Reading text unavailable for Mark 7.1-13.,text_unavailable
standard,Ordinary Time/5/Tuesday/I,330,first_reading,Gen 1.20-2.4a,In the beginning when God created the heavens and the earth,"In the beginning,","And God said, ""Let the waters bring forth swarms of living creatures, and let birds fly above the earth across the firmament of the heavens.""",Reading text unavailable for Gen 1.20-2.4a.,text_unavailable
standard,Ordinary Time/5/Tuesday/I,330,gospel,Mark 7.1-13,When the Pharisees and some of the scribes,"At that time,","Now when the Pharisees gathered together to him, with some of the scribes, who had come from Jerusalem,",Reading text unavailable for Mark 7.1-13.,text_unavailable
standard,Ordinary Time/5/Wednesday/I,331,first_reading,"Gen 2.4b-9, 15-17",In the day that the Lord God made the earth and the heavens,"In the beginning,","These are the generations of the heavens and the earth when they were created. In the day that the LORD God made the earth and the heavens,","Reading text unavailable for Gen 2.4b-9, 15-17.",text_unavailable
standard,Ordinary Time/5/Wednesday/I,331,gospel,Mark 7.14-23,Jesus called the crowd and said to them,"At that time,","And he called the people to him again, and said to them, ""Hear me, all of you, and understand:",Reading text unavailable for Mark 7.14-23.,text_unavailable
standard,Ordinary Time/5/Wednesday/I,331,first_reading,"Gen 2.4b-9, 15-17",In the day that the Lord God made the earth and the heavens,"In the beginning,","These are the generations of the heavens and the earth when they were created. In the day that the LORD God made the earth and the heavens,","Reading text unavailable for Gen 2.4b-9, 15-17.",text_unavailable
standard,Ordinary Time/5/Wednesday/I,331,gospel,Mark 7.14-23,Jesus called the crowd and said to them,"At that time,","And he called the people to him again, and said to them, ""Hear me, all of you, and understand:",Reading text unavailable for Mark 7.14-23.,text_unavailable
standard,Ordinary Time/5/Thursday/I,332,first_reading,Gen 2.18-25,The Lord God had created the man and put him in the garden.,"In the beginning,","Then the LORD God said, ""It is not good that the man should be alone; I will make him a helper fit for him.""",Reading text unavailable for Gen 2.18-25.,text_unavailable
standard,Ordinary Time/5/Thursday/I,332,gospel,Mark 7.24-30,Jesus set out and went away to the region of Tyre and Sidon.,"At that time,","And from there he arose and went away to the region of Tyre and Sidon.  And he entered a house, and would not have any one know it; yet he could not be hid.",Reading text unavailable for Mark 7.24-30.,text_unavailable
standard,Ordinary Time/5/Thursday/I,332,first_reading,Gen 2.18-25,The Lord God had created the man and put him in the garden.,"In the beginning,","Then the LORD God said, ""It is not good that the man should be alone; I will make him a helper fit for him.""",Reading text unavailable for Gen 2.18-25.,text_unavailable
standard,Ordinary Time/5/Thursday/I,332,gospel,Mark 7.24-30,Jesus set out and went away to the region of Tyre and Sidon.,"At that time,","And from there he arose and went away to the region of Tyre and Sidon.  And he entered a house, and would not have any one know it; yet he could not be hid.",Reading text unavailable for Mark 7.24-30.,text_unavailable
standard,Ordinary Time/5/Friday/I,333,first_reading,Gen 3.1-8,The serpent was more crafty than any other wild animal,"In the beginning,","Now the serpent was more subtle than any other wild creature that the LORD God had made. He said to the woman, ""Did God say, 'You shall not eat of any tree of the garden'?""",Reading text unavailable for Gen 3.1-8.,text_unavailable
standard,Ordinary Time/5/Friday/I,333,first_reading,Gen 3.1-8,The serpent was more crafty than any other wild animal,"In the beginning,","Now the serpent was more subtle than any other wild creature that the LORD God had made. He said to the woman, ""Did God say, 'You shall not eat of any tree of the garden'?""",Reading text unavailable for Gen 3.1-8.,text_unavailable
standard,Ordinary Time/6/Sunday/A,,first_reading,Sir 15:15-20,"IF you choose you can keep the commandments, they will save you","My son,","If you will, you can keep the commandments,","15. If you will, you can keep the commandments,",verse_number_in_rendered
standard,Ordinary Time/6/Sunday/A,,gospel,"Matt 5:17-37 or 5:20-22a, 27-28, 33-34a, 37","JESUS said to his disciples ""Do not think that I have come to abolish the law or the prophets",Jesus said to his disciples:,"""You have heard that it was said, 'You shall not commit adultery.'","27. JESUS said to his:: ""You have heard that it was said, 'You shall not commit adultery.'",verse_number_in_rendered
standard,Ordinary Time/6/Sunday/B,,gospel,Mark 1:40-45,A LEPER came to Jesus and kneeling down begged him and said,"At that time,","And a leper came to him beseeching him, and kneeling said to him, ""If you will, you can make me clean.""","40. And a leper came to Jesus beseeching him, and kneeling said to him, ""If you will, you can make me clean.""",raw_verse_conjunction:and; verse_number_in_rendered
standard,Ordinary Time/6/Sunday/C,,first_reading,Jer 17:5-8,THUS says the LORD Cursed is the one who trusts in human beings,Thus says the LORD:,"Thus says the LORD: ""Cursed is the man who trusts in man and makes flesh his arm, whose heart turns away from the LORD.","5. Thus says the LORD: ""Cursed is the man who trusts in man and makes flesh his arm, whose heart turns away from the LORD.",raw_verse_conjunction:thus; verse_number_in_rendered
standard,Ordinary Time/6/Sunday/C,,gospel,"Luke 6:17, 20-26",JESUS came down with the twelve,"At that time,","And he came down with them and stood on a level place, with a great crowd of his disciples and a great multitude of people from all Judea and Jerusalem and the seacoast of Tyre and Sidon, who came to hear him and to be healed of their diseases;","17. And Jesus came down with them and stood on a level place, with a great crowd of his disciples and a great multitude of people from all Judea and Jerusalem and the seacoast of Tyre and Sidon, who came to hear him and to be healed of their diseases;",raw_verse_conjunction:and; verse_number_in_rendered
standard,Ordinary Time/6/Monday/I,335,first_reading,"Gen 4.1-15, 25",Now the man knew his wife Eve,"In the beginning,","Now Adam knew Eve his wife, and she conceived and bore Cain, saying, ""I have gotten a man with the help of the LORD.""","Reading text unavailable for Gen 4.1-15, 25.",text_unavailable
standard,Ordinary Time/6/Monday/I,335,gospel,Mark 8.11-13,The Pharisees came to Jesus and began to argue with him,"At that time,","The Pharisees came and began to argue with him, seeking from him a sign from heaven, to test him.",Reading text unavailable for Mark 8.11-13.,text_unavailable
standard,Ordinary Time/6/Monday/I,335,first_reading,"Gen 4.1-15, 25",Now the man knew his wife Eve,"In the beginning,","Now Adam knew Eve his wife, and she conceived and bore Cain, saying, ""I have gotten a man with the help of the LORD.""","Reading text unavailable for Gen 4.1-15, 25.",text_unavailable
standard,Ordinary Time/6/Monday/I,335,gospel,Mark 8.11-13,The Pharisees came to Jesus and began to argue with him,"At that time,","The Pharisees came and began to argue with him, seeking from him a sign from heaven, to test him.",Reading text unavailable for Mark 8.11-13.,text_unavailable
standard,Ordinary Time/6/Monday/II,335,first_reading,James 1.1-11,"From James, a servant of God and of the Lord Jesus Christ",,[NO_CHAPTER: Jas 1],Reading text unavailable for James 1.1-11.,text_unavailable
standard,Ordinary Time/6/Monday/II,335,gospel,Mark 8.11-13,The Pharisees came to Jesus and began to argue with him,"At that time,","The Pharisees came and began to argue with him, seeking from him a sign from heaven, to test him.",Reading text unavailable for Mark 8.11-13.,text_unavailable
standard,Ordinary Time/6/Monday/II,335,first_reading,James 1.1-11,"From James, a servant of God and of the Lord Jesus Christ",,[NO_CHAPTER: Jas 1],Reading text unavailable for James 1.1-11.,text_unavailable
standard,Ordinary Time/6/Monday/II,335,gospel,Mark 8.11-13,The Pharisees came to Jesus and began to argue with him,"At that time,","The Pharisees came and began to argue with him, seeking from him a sign from heaven, to test him.",Reading text unavailable for Mark 8.11-13.,text_unavailable
standard,Ordinary Time/6/Tuesday/I,336,first_reading,"Gen 6.5-8; 7.1-5, 10",The Lord saw that the wickedness of humanity was great in the earth,"In the beginning,","The LORD saw that the wickedness of man was great in the earth, and that every imagination of the thoughts of his heart was only evil continually.","Reading text unavailable for Gen 6.5-8; 7.1-5, 10.",text_unavailable
standard,Ordinary Time/6/Tuesday/I,336,gospel,Mark 8.14-21,"After feeding the crowd, Jesus sent them away","At that time,",Now they had forgotten to bring bread; and they had only one loaf with them in the boat.,Reading text unavailable for Mark 8.14-21.,text_unavailable
standard,Ordinary Time/6/Tuesday/I,336,first_reading,"Gen 6.5-8; 7.1-5, 10",The Lord saw that the wickedness of humanity was great in the earth,"In the beginning,","The LORD saw that the wickedness of man was great in the earth, and that every imagination of the thoughts of his heart was only evil continually.","Reading text unavailable for Gen 6.5-8; 7.1-5, 10.",text_unavailable
standard,Ordinary Time/6/Tuesday/I,336,gospel,Mark 8.14-21,"After feeding the crowd, Jesus sent them away","At that time,",Now they had forgotten to bring bread; and they had only one loaf with them in the boat.,Reading text unavailable for Mark 8.14-21.,text_unavailable
standard,Ordinary Time/6/Tuesday/II,336,first_reading,James 1.12-18,Blessed is anyone who endures temptation.,,[NO_CHAPTER: Jas 1],Reading text unavailable for James 1.12-18.,text_unavailable
standard,Ordinary Time/6/Tuesday/II,336,gospel,Mark 8.14-21,"After feeding the crowd, Jesus sent them away","At that time,",Now they had forgotten to bring bread; and they had only one loaf with them in the boat.,Reading text unavailable for Mark 8.14-21.,text_unavailable
standard,Ordinary Time/6/Tuesday/II,336,first_reading,James 1.12-18,Blessed is anyone who endures temptation.,,[NO_CHAPTER: Jas 1],Reading text unavailable for James 1.12-18.,text_unavailable
standard,Ordinary Time/6/Tuesday/II,336,gospel,Mark 8.14-21,"After feeding the crowd, Jesus sent them away","At that time,",Now they had forgotten to bring bread; and they had only one loaf with them in the boat.,Reading text unavailable for Mark 8.14-21.,text_unavailable
standard,Ordinary Time/6/Wednesday/I,337,first_reading,"Gen 8.6-13, 20-22",At the end of forty days,"In the beginning,","At the end of forty days Noah opened the window of the ark which he had made,","Reading text unavailable for Gen 8.6-13, 20-22.",text_unavailable
standard,Ordinary Time/6/Wednesday/I,337,gospel,Mark 8.22-26,Jesus and the disciples came to Bethsaida.,"At that time,","And they came to Beth-saida. And some people brought to him a blind man, and begged him to touch him.",Reading text unavailable for Mark 8.22-26.,text_unavailable
standard,Ordinary Time/6/Wednesday/I,337,first_reading,"Gen 8.6-13, 20-22",At the end of forty days,"In the beginning,","At the end of forty days Noah opened the window of the ark which he had made,","Reading text unavailable for Gen 8.6-13, 20-22.",text_unavailable
standard,Ordinary Time/6/Wednesday/I,337,gospel,Mark 8.22-26,Jesus and the disciples came to Bethsaida.,"At that time,","And they came to Beth-saida. And some people brought to him a blind man, and begged him to touch him.",Reading text unavailable for Mark 8.22-26.,text_unavailable
standard,Ordinary Time/6/Wednesday/II,337,first_reading,James 1.19-27,"You must understand this, my beloved",,[NO_CHAPTER: Jas 1],Reading text unavailable for James 1.19-27.,text_unavailable
standard,Ordinary Time/6/Wednesday/II,337,gospel,Mark 8.22-26,Jesus and the disciples came to Bethsaida.,"At that time,","And they came to Beth-saida. And some people brought to him a blind man, and begged him to touch him.",Reading text unavailable for Mark 8.22-26.,text_unavailable
standard,Ordinary Time/6/Wednesday/II,337,first_reading,James 1.19-27,"You must understand this, my beloved",,[NO_CHAPTER: Jas 1],Reading text unavailable for James 1.19-27.,text_unavailable
standard,Ordinary Time/6/Wednesday/II,337,gospel,Mark 8.22-26,Jesus and the disciples came to Bethsaida.,"At that time,","And they came to Beth-saida. And some people brought to him a blind man, and begged him to touch him.",Reading text unavailable for Mark 8.22-26.,text_unavailable
standard,Ordinary Time/6/Thursday/I,338,first_reading,Gen 9.1-13,Noah left the ark with his wife and his sons and his sons' wives,"In the beginning,","And God blessed Noah and his sons, and said to them, ""Be fruitful and multiply, and fill the earth.",Reading text unavailable for Gen 9.1-13.,text_unavailable
standard,Ordinary Time/6/Thursday/I,338,gospel,Mark 8.27-33,Jesus went with his disciples to the villages of Caesarea Philippi,"At that time,","And Jesus went on with his disciples, to the villages of Caesarea Philippi; and on the way he asked his disciples, ""Who do men say that I am?""",Reading text unavailable for Mark 8.27-33.,text_unavailable
standard,Ordinary Time/6/Thursday/I,338,first_reading,Gen 9.1-13,Noah left the ark with his wife and his sons and his sons' wives,"In the beginning,","And God blessed Noah and his sons, and said to them, ""Be fruitful and multiply, and fill the earth.",Reading text unavailable for Gen 9.1-13.,text_unavailable
standard,Ordinary Time/6/Thursday/I,338,gospel,Mark 8.27-33,Jesus went with his disciples to the villages of Caesarea Philippi,"At that time,","And Jesus went on with his disciples, to the villages of Caesarea Philippi; and on the way he asked his disciples, ""Who do men say that I am?""",Reading text unavailable for Mark 8.27-33.,text_unavailable
standard,Ordinary Time/6/Thursday/II,338,first_reading,James 2.1-9,My brothers and sisters,,[NO_CHAPTER: Jas 2],Reading text unavailable for James 2.1-9.,text_unavailable
standard,Ordinary Time/6/Thursday/II,338,gospel,Mark 8.27-33,Jesus went with his disciples to the villages of Caesarea Philippi,"At that time,","And Jesus went on with his disciples, to the villages of Caesarea Philippi; and on the way he asked his disciples, ""Who do men say that I am?""",Reading text unavailable for Mark 8.27-33.,text_unavailable
standard,Ordinary Time/6/Thursday/II,338,first_reading,James 2.1-9,My brothers and sisters,,[NO_CHAPTER: Jas 2],Reading text unavailable for James 2.1-9.,text_unavailable
standard,Ordinary Time/6/Thursday/II,338,gospel,Mark 8.27-33,Jesus went with his disciples to the villages of Caesarea Philippi,"At that time,","And Jesus went on with his disciples, to the villages of Caesarea Philippi; and on the way he asked his disciples, ""Who do men say that I am?""",Reading text unavailable for Mark 8.27-33.,text_unavailable
standard,Ordinary Time/6/Friday/I,339,first_reading,Gen 11.1-9,The whole earth had one language and the same words.,"In the beginning,",Now the whole earth had one language and few words.,Reading text unavailable for Gen 11.1-9.,text_unavailable
standard,Ordinary Time/6/Friday/I,339,gospel,Mark 8.34-38 - 9.1,"Jesus called the crowd with his disciples, and said to them","At that time,","And he called to him the multitude with his disciples, and said to them, ""If any man would come after me, let him deny himself and take up his cross and follow me.",Reading text unavailable for Mark 8.34-38 - 9.1.,text_unavailable
standard,Ordinary Time/6/Friday/I,339,first_reading,Gen 11.1-9,The whole earth had one language and the same words.,"In the beginning,",Now the whole earth had one language and few words.,Reading text unavailable for Gen 11.1-9.,text_unavailable
standard,Ordinary Time/6/Friday/I,339,gospel,Mark 8.34-38 - 9.1,"Jesus called the crowd with his disciples, and said to them","At that time,","And he called to him the multitude with his disciples, and said to them, ""If any man would come after me, let him deny himself and take up his cross and follow me.",Reading text unavailable for Mark 8.34-38 - 9.1.,text_unavailable
standard,Ordinary Time/6/Friday/II,339,first_reading,"James 2.14-24, 26","What good is it, my brothers and sisters",,[NO_CHAPTER: Jas 2],"Reading text unavailable for James 2.14-24, 26.",text_unavailable
standard,Ordinary Time/6/Friday/II,339,gospel,Mark 8.34-38 - 9.1,"Jesus called the crowd with his disciples, and said to them","At that time,","And he called to him the multitude with his disciples, and said to them, ""If any man would come after me, let him deny himself and take up his cross and follow me.",Reading text unavailable for Mark 8.34-38 - 9.1.,text_unavailable
standard,Ordinary Time/6/Friday/II,339,first_reading,"James 2.14-24, 26","What good is it, my brothers and sisters",,[NO_CHAPTER: Jas 2],"Reading text unavailable for James 2.14-24, 26.",text_unavailable
standard,Ordinary Time/6/Friday/II,339,gospel,Mark 8.34-38 - 9.1,"Jesus called the crowd with his disciples, and said to them","At that time,","And he called to him the multitude with his disciples, and said to them, ""If any man would come after me, let him deny himself and take up his cross and follow me.",Reading text unavailable for Mark 8.34-38 - 9.1.,text_unavailable
standard,Ordinary Time/7/Sunday/A,,first_reading,"Lev 19:1-2, 17-18",THE LORD said to Moses,The LORD said to Moses:,"And the LORD said to Moses,","1. And the LORD said to Moses,",raw_verse_conjunction:and
standard,Ordinary Time/7/Sunday/A,,gospel,Matt 5:38-48,"JESUS said to his disciples ""You have heard that it was said",Jesus said to his disciples:,"""You have heard that it was said, 'An eye for an eye and a tooth for a tooth.'","38. ""You have heard that it was said, 'An eye for an eye and a tooth for a tooth.'",verse_number_in_rendered
standard,Ordinary Time/7/Sunday/B,,first_reading,"Isa 43:18-19, 21-22, 24b-25",THUS says the LORD Remember not the events of the past,Thus says the LORD:,"""Remember not the former things, nor consider the things of old.","18. THUS says the LORD:: ""Remember not the former things, nor consider the things of old.",raw_verse_conjunction:thus; verse_number_in_rendered
standard,Ordinary Time/7/Sunday/B,,gospel,Mark 2:1-12,WHEN Jesus returned to Capernaum after some days,"At that time,","And when he returned to Caperna-um after some days, it was reported that he was at home.","1. And when Jesus returned to Caperna-um after some days, it was reported that he was at home.",raw_verse_conjunction:and
standard,Ordinary Time/7/Sunday/C,,first_reading,"1 Sam 26:2, 7-9, 12-13, 22-23","IN those days, Saul went down to the desert of Ziph","In those days,","So Saul arose and went down to the wilderness of Ziph, with three thousand chosen men of Israel, to seek David in the wilderness of Ziph.","2. So Saul arose and went down to the wilderness of Ziph, with three thousand chosen men of Israel, to seek David in the wilderness of Ziph.",raw_verse_conjunction:so; verse_number_in_rendered
standard,Ordinary Time/7/Sunday/C,,gospel,Luke 6:27-38,"JESUS said to his disciples ""To you who hear I say","At that time,","""But I say to you that hear, Love your enemies, do good to those who hate you,","27. JESUS said to his:: ""But I say to you that hear, Love your enemies, do good to those who hate you,",verse_number_in_rendered
standard,Ordinary Time/7/Monday/I,341,first_reading,Sir 1.1-10,All wisdom is from the Lord,"My son,",All wisdom comes from the Lord and is with him for ever.,Reading text unavailable for Sir 1.1-10.,text_unavailable
standard,Ordinary Time/7/Monday/I,341,gospel,Mark 9.14-29,"Jesus, Peter, James and John, came down the mountain","At that time,","And when they came to the disciples, they saw a great crowd about them, and scribes arguing with them.",Reading text unavailable for Mark 9.14-29.,text_unavailable
standard,Ordinary Time/7/Monday/I,341,first_reading,Sir 1.1-10,All wisdom is from the Lord,"My son,",All wisdom comes from the Lord and is with him for ever.,Reading text unavailable for Sir 1.1-10.,text_unavailable
standard,Ordinary Time/7/Monday/I,341,gospel,Mark 9.14-29,"Jesus, Peter, James and John, came down the mountain","At that time,","And when they came to the disciples, they saw a great crowd about them, and scribes arguing with them.",Reading text unavailable for Mark 9.14-29.,text_unavailable
standard,Ordinary Time/7/Monday/II,341,first_reading,James 3.13-18,Brothers and sisters who is wise and understanding among you?,,[NO_CHAPTER: Jas 3],Reading text unavailable for James 3.13-18.,text_unavailable
standard,Ordinary Time/7/Monday/II,341,gospel,Mark 9.14-29,"Jesus, Peter, James and John, came down the mountain","At that time,","And when they came to the disciples, they saw a great crowd about them, and scribes arguing with them.",Reading text unavailable for Mark 9.14-29.,text_unavailable
standard,Ordinary Time/7/Monday/II,341,first_reading,James 3.13-18,Brothers and sisters who is wise and understanding among you?,,[NO_CHAPTER: Jas 3],Reading text unavailable for James 3.13-18.,text_unavailable
standard,Ordinary Time/7/Monday/II,341,gospel,Mark 9.14-29,"Jesus, Peter, James and John, came down the mountain","At that time,","And when they came to the disciples, they saw a great crowd about them, and scribes arguing with them.",Reading text unavailable for Mark 9.14-29.,text_unavailable
standard,Ordinary Time/7/Tuesday/I,342,first_reading,Sir 2.1-11,My child when you come to serve the Lord,"My son,","My son, if you come forward to serve the Lord, prepare yourself for temptation.",Reading text unavailable for Sir 2.1-11.,text_unavailable
standard,Ordinary Time/7/Tuesday/I,342,gospel,Mark 9.30-37,Jesus and the disciples passed through Galilee.,"At that time,",They went on from there and passed through Galilee. And he would not have any one know it;,Reading text unavailable for Mark 9.30-37.,text_unavailable
standard,Ordinary Time/7/Tuesday/I,342,first_reading,Sir 2.1-11,My child when you come to serve the Lord,"My son,","My son, if you come forward to serve the Lord, prepare yourself for temptation.",Reading text unavailable for Sir 2.1-11.,text_unavailable
standard,Ordinary Time/7/Tuesday/I,342,gospel,Mark 9.30-37,Jesus and the disciples passed through Galilee.,"At that time,",They went on from there and passed through Galilee. And he would not have any one know it;,Reading text unavailable for Mark 9.30-37.,text_unavailable
standard,Ordinary Time/7/Tuesday/II,342,first_reading,James 4.1-10,Beloved those conflicts and disputes among you,,[NO_CHAPTER: Jas 4],Reading text unavailable for James 4.1-10.,text_unavailable
standard,Ordinary Time/7/Tuesday/II,342,gospel,Mark 9.30-37,Jesus and the disciples passed through Galilee.,"At that time,",They went on from there and passed through Galilee. And he would not have any one know it;,Reading text unavailable for Mark 9.30-37.,text_unavailable
standard,Ordinary Time/7/Tuesday/II,342,first_reading,James 4.1-10,Beloved those conflicts and disputes among you,,[NO_CHAPTER: Jas 4],Reading text unavailable for James 4.1-10.,text_unavailable
standard,Ordinary Time/7/Tuesday/II,342,gospel,Mark 9.30-37,Jesus and the disciples passed through Galilee.,"At that time,",They went on from there and passed through Galilee. And he would not have any one know it;,Reading text unavailable for Mark 9.30-37.,text_unavailable
standard,Ordinary Time/7/Wednesday/I,343,first_reading,Sir 4.11-19,Wisdom teaches her children,"My son,",Wisdom exalts her sons and gives help to those who seek her.,Reading text unavailable for Sir 4.11-19.,text_unavailable
standard,Ordinary Time/7/Wednesday/I,343,gospel,Mark 9.38-40,"John, one of the disciples, said to Jesus","At that time,","John said to him, ""Teacher, we saw a man casting out demons in your name,  and we forbade him, because he was not following us.""",Reading text unavailable for Mark 9.38-40.,text_unavailable
standard,Ordinary Time/7/Wednesday/I,343,first_reading,Sir 4.11-19,Wisdom teaches her children,"My son,",Wisdom exalts her sons and gives help to those who seek her.,Reading text unavailable for Sir 4.11-19.,text_unavailable
standard,Ordinary Time/7/Wednesday/I,343,gospel,Mark 9.38-40,"John, one of the disciples, said to Jesus","At that time,","John said to him, ""Teacher, we saw a man casting out demons in your name,  and we forbade him, because he was not following us.""",Reading text unavailable for Mark 9.38-40.,text_unavailable
